,Model,dataset,Replacement Strategy,accuracy,time,features
449,Linear Regression,crab,Zero,86.91839960271895,1.631960724e-05,8
450,Linear Regression,cust,Conditional,99.88433573,0.014528,8
451,Linear Regression,cust,Marginal,99.72911389,0.00049956,8
452,Linear Regression,cust,Copula,99.88433572,0.015928,8
453,Linear Regression,cust,Gaussian,99.88433578,0.016059,8
454,Linear Regression,cust,Mean,99.88433573,1.747650608e-05,8
456,Linear Regression,cust,Separate models,99.91137726,18.36258769,8
457,Linear Regression,cust,Uniform,99.88433573,0.001799858365,8
458,Linear Regression,cust,Zero,94.64096947,1.6193262619999998e-05,8
459,Linear Regression,diabetes,Conditional,99.73237654,0.014228,8
460,Linear Regression,diabetes,Marginal,99.53439,0.0006116,8
461,Linear Regression,diabetes,Copula,99.73237655,0.015657,8
