,Model,dataset,Replacement Strategy,accuracy,time,features
367,Decision Trees,energy_heat,Gaussian,99.96779282,0.014701,8
368,Decision Trees,energy_heat,Copula,99.96779275,0.013925,8
369,Decision Trees,forest,Separate models,99.74294669,67.73447943,12
370,Decision Trees,forest,Zero,99.75282424,2.7984819910000003e-05,12
371,Decision Trees,forest,Mean,91.96993881,2.83557072e-05,12
373,Decision Trees,forest,Uniform,98.8882505,0.0007798469234,12
374,Decision Trees,forest,Marginal,99.74294669,0.0044778,12
375,Decision Trees,forest,Conditional,99.74294665,0.0762,12
376,Decision Trees,forest,Gaussian,99.74294709,0.085929,12
377,Decision Trees,forest,Copula,99.74294712,0.108307,12
378,Decision Trees,forestfire,Separate models,99.72113704,73.38495302,12
379,Decision Trees,forestfire,Zero,96.85592694,3.018345749e-05,12
380,Decision Trees,forestfire,Mean,91.88444385,2.851560102e-05,12
382,Decision Trees,forestfire,Uniform,91.57956513,0.0009184211278,12
383,Decision Trees,forestfire,Marginal,99.72113705,0.0056831,12
384,Decision Trees,forestfire,Conditional,99.72113701,0.108484,12
385,Decision Trees,forestfire,Gaussian,99.7211374,0.107057,12
386,Decision Trees,forestfire,Copula,99.72113748,0.110022,12
387,Decision Trees,france,Separate models,99.64317821,11.08232903,7
388,Decision Trees,france,Zero,80.36843796043851,1.8111843050000002e-05,7
389,Decision Trees,france,Mean,57.15323507,1.858623823e-05,7
391,Decision Trees,france,Uniform,80.36843796043851,0.0009106619978,7
392,Decision Trees,france,Marginal,99.15430081,0.00059135,7
393,Decision Trees,france,Conditional,99.15430109,0.011776,7
394,Decision Trees,france,Gaussian,99.15429311,0.012038,7
395,Decision Trees,france,Copula,99.15429869,0.012387,7
396,Decision Trees,friedman,Separate models,99.02177663,53.60337043,9
397,Decision Trees,friedman,Zero,80.36843796043851,2.195122748e-05,9
398,Decision Trees,friedman,Mean,55.72224197,2.345213023e-05,9
400,Decision Trees,friedman,Uniform,77.31633878,0.001388462739,9
401,Decision Trees,friedman,Marginal,99.06283839,0.00135315,9
402,Decision Trees,friedman,Conditional,99.06283842,0.022215,9
403,Decision Trees,friedman,Gaussian,99.06283872,0.025776,9
404,Decision Trees,friedman,Copula,99.06283842,0.025749,9
405,Decision Trees,germany,Separate models,99.93943273,12.96538973,7
406,Decision Trees,germany,Zero,80.36843796043851,1.906035886e-05,7
407,Decision Trees,germany,Mean,72.18641168,1.868354913e-05,7
409,Decision Trees,germany,Uniform,99.23107233,0.0009951648378,7
410,Decision Trees,germany,Marginal,98.93327916,0.0006531,7
411,Decision Trees,germany,Conditional,98.93327918,0.012238,7
412,Decision Trees,germany,Gaussian,98.93327813,0.012613,7
413,Decision Trees,germany,Copula,98.93327913,0.01227,7
414,Decision Trees,glass,Separate models,99.9854169,3.651620388,9
415,Decision Trees,glass,Zero,80.36843796043851,2.135720052e-05,9
416,Decision Trees,glass,Mean,99.32710537,2.165438424e-05,9
418,Decision Trees,glass,Uniform,99.88116121,0.0002854663923,9
419,Decision Trees,glass,Marginal,99.9854169,0.00065745,9
420,Decision Trees,glass,Conditional,99.98541691,0.01274,9
421,Decision Trees,glass,Gaussian,99.98541687,0.013033,9
422,Decision Trees,glass,Copula,99.98541691,0.012887,9
423,Decision Trees,heart_disease,Separate models,99.97001197,95.87387586,13
424,Decision Trees,heart_disease,Zero,80.36843796043851,3.072354529e-05,13
425,Decision Trees,heart_disease,Mean,99.82855297,2.9884841710000002e-05,13
427,Decision Trees,heart_disease,Uniform,65.10671963,0.0005621740262,13
428,Decision Trees,heart_disease,Marginal,99.97001196,0.007032399999999999,13
429,Decision Trees,heart_disease,Conditional,99.97001197,0.152007,13
430,Decision Trees,heart_disease,Gaussian,99.97001206,0.186797,13
431,Decision Trees,heart_disease,Copula,99.97001197,0.175946,13
432,Decision Trees,heartage,Separate models,99.94666681,372.7496593,13
433,Decision Trees,heartage,Zero,43.48000294,3.1241612e-05,13
434,Decision Trees,heartage,Mean,56.00543783,3.072701801e-05,13
436,Decision Trees,heartage,Uniform,99.57912542,0.0012357785029999998,13
437,Decision Trees,heartage,Marginal,99.70294,0.02516395,13
438,Decision Trees,heartage,Conditional,99.70294002,0.503279,13
439,Decision Trees,heartage,Gaussian,99.70194,0.503279,13
440,Decision Trees,heartage,Copula,99.70114002,0.503279,13
441,Decision Trees,heartfailure,Separate models,95.76336313,61.29696655,12
442,Decision Trees,heartfailure,Zero,42.43973589,2.868259796e-05,12
443,Decision Trees,heartfailure,Mean,80.36843796043851,2.841296822e-05,12
445,Decision Trees,heartfailure,Uniform,97.32986392,0.0005555362099,12
446,Decision Trees,heartfailure,Marginal,95.76336318,0.0039796499999999995,12
447,Decision Trees,heartfailure,Conditional,95.76336279,0.08434,12
448,Decision Trees,heartfailure,Gaussian,95.76336294,0.101954,12
449,Decision Trees,heartfailure,Copula,95.76336352,0.090878,12
