dataset,Replacement Strategy,accuracy,time,features
338,forest,Gaussian,98.5840518325,0.110082,12.0
339,forest,Marginal,98.58405116,0.08741925,12.0
340,forest,Mean,95.50074788,0.1601483469825,12.0
341,forest,Separate models,99.1026686425,71280.2058473575,12.0
342,forest,Uniform,74.19879149,13.0020298856,12.0
343,forest,Zero,88.42456201,0.14651475106825,12.0
344,forestfire,Conditional,98.8287985525,0.098915,12.0
345,forestfire,Copula,98.828799355,0.1273195,12.0
346,forestfire,Gaussian,98.82879936,0.11447825,12.0
347,forestfire,Marginal,98.828798675,0.11414225,12.0
348,forestfire,Mean,94.6957872175,0.1512542645815,12.0
349,forestfire,Separate models,99.1972210675,84224.32947575499,12.0
350,forestfire,Uniform,72.214412065,14.4859729147,12.0
351,forestfire,Zero,86.805811575,0.1319817963392499,12.0
352,france,Conditional,99.35895417,0.0108795,7.0
353,france,Copula,99.3589526,0.0125205,7.0
354,france,Gaussian,99.3589465225,0.01271175,7.0
355,france,Marginal,99.35895411,0.012781,7.0
356,france,Mean,52.7164232375,0.09579456720275,7.0
357,france,Separate models,99.7847261925,3924.8981565075,7.0
358,france,Uniform,2.3181302925,24.4891241872,7.0
359,france,Zero,0.0,0.0946042703845,7.0
360,friedman,Conditional,99.31701076,0.0202369999999999,9.0
361,friedman,Copula,99.317010776,0.0248886,9.0
362,friedman,Gaussian,99.317010886,0.0254274,9.0
363,friedman,Marginal,99.317010744,0.0285796,9.0
364,friedman,Mean,88.52242735600001,0.1629280051287999,9.0
365,friedman,Separate models,98.221085992,9793.235606686,9.0
366,friedman,Uniform,83.01549987199999,29.025157724400003,9.0
367,friedman,Zero,0.0,0.1608427926317999,9.0
368,germany,Conditional,99.4543921075,0.01238675,7.0
369,germany,Copula,99.45439203,0.0123075,7.0
370,germany,Gaussian,99.4543915475,0.01300625,7.0
371,germany,Marginal,99.4543920875,0.012853,7.0
372,germany,Mean,70.1230345275,0.110947121086,7.0
373,germany,Separate models,99.97494197,3866.2502664325,7.0
374,germany,Uniform,62.09184342,22.2622144157,7.0
375,germany,Zero,0.0,0.09065129378675,7.0
376,glass,Conditional,99.62158979,0.0146185,9.0
377,glass,Copula,99.621590785,0.017419,9.0
378,glass,Gaussian,99.62159,0.01902375,9.0
379,glass,Marginal,99.62158981,0.01767275,9.0
380,glass,Mean,87.75795819,0.12573306408275,9.0
381,glass,Separate models,99.6183558525,4213.091939347,9.0
382,glass,Uniform,71.6514838975,4.375913837325,9.0
383,glass,Zero,0.972088665,0.1026651792095,9.0
384,heart_disease,Conditional,96.693575368,0.1595892,13.0
385,heart_disease,Copula,96.693575198,0.2111151999999999,13.0
386,heart_disease,Gaussian,96.553575594,0.1754028,13.0
387,heart_disease,Marginal,96.693575282,0.149261,13.0
388,heart_disease,Mean,92.462927494,0.1340170144974,13.0
389,heart_disease,Separate models,99.468393114,128734.016813332,13.0
390,heart_disease,Uniform,63.866535948,5.94482502148,13.0
391,heart_disease,Zero,55.56270087,0.1208693218312,13.0
392,heartage,Conditional,99.70294002,0.503279,13.0
393,heartage,Copula,99.70114002,0.503279,13.0
394,heartage,Gaussian,99.70194,0.503279,13.0
395,heartage,Marginal,99.70294,0.503279,13.0
396,heartage,Mean,56.00543783,0.003072701801,13.0
397,heartage,Separate models,99.94666681,372.7496593,13.0
398,heartage,Uniform,99.57912542,1.235778503,13.0
399,heartage,Zero,43.48000294,0.0031241612,13.0
400,heartfailure,Conditional,98.13276188,0.07806725,12.0
401,heartfailure,Copula,98.1327622125,0.0993985,12.0
402,heartfailure,Gaussian,98.1327621375,0.08846575,12.0
403,heartfailure,Marginal,98.1327620375,0.08699675,12.0
404,heartfailure,Mean,36.90854512425,0.142468705932,12.0
405,heartfailure,Separate models,98.20770401,94855.4434341375,12.0
406,heartfailure,Uniform,25.78643606025,7.895318011725,12.0
407,heartfailure,Zero,34.9671485825,0.14131912498075,12.0
408,housing,Conditional,83.06790099666667,0.1927513333333333,13.0
409,housing,Copula,83.06790096666667,0.3160759999999999,13.0
410,housing,Gaussian,83.0679018,0.3510146666666666,13.0
411,housing,Marginal,83.06790091333333,0.2980923333333333,13.0
