,Approximation,Model,Dataset,Accuracy,Time,Features
437,MLE,svm,californiahousing,99.6882301,0.3909748207,8
572,MLE,svm,employee,99.24902818,0.3908775944,9
338,MLE,svm,computer,99.58594453,0.3903495402,7
212,MLE,svm,japanemg,93.02597829,0.389909935,5
374,MLE,svm,raotbl6,99.88811684,0.389163058,7
521,SGDShapley,svm,rentals,99.22074396,0.3885921052,8
365,MLE,svm,germany,98.72605121,0.3878784172,7
218,Exhaustive,svm,linnerud,88.47015449,0.3874003887,5
505,Cohort,svm,prostate,96.82240282,0.3865089922,8
504,CES,svm,prostate,96.82240282,0.3865089922,8
464,MLE,svm,crab,98.97267652,0.3862714406,8
590,MLE,svm,friedman,98.61172319,0.3856628541,9
410,MLE,svm,slump-flow,99.60955948,0.385267426,7
428,MLE,svm,wholesale,99.56115122,0.3851169576,7
491,MLE,svm,energy_cool,99.87228406,0.3842076082,8
275,MLE,svm,seeds,99.44417563,0.3836250443,6
401,MLE,svm,slump,98.36310124,0.3834305581,7
509,MLE,svm,prostate,99.70597645,0.3821017164,8
368,SGDShapley,svm,germany,99.89884764,0.3816418583,7
599,MLE,svm,glass,99.27729668,0.3815841138,9
302,MLE,svm,admission,98.09062173,0.3812323541,7
473,MLE,svm,cust,99.57025359,0.3812160119,8
293,MLE,svm,yatch,98.68906945,0.3799128906,6
419,MLE,svm,slump-mpa,99.63803642,0.3784871452,7
329,MLE,svm,chanceadmit,99.60383627,0.3780965661,7
383,MLE,svm,raotbl7,98.43435132,0.3768617351,7
176,MLE,svm,startups,90.97208072,0.37646382,4
158,MLE,svm,petrol,99.69355481,0.3763704449,4
149,MLE,svm,iris,99.60756415,0.3755097818,4
347,MLE,svm,diamond,99.80272402,0.3731346015,7
131,MLE,svm,diamonds_select,99.53112651,0.3720809662,4
230,MLE,svm,sacramento,99.54041978,0.3718411009,5
885,IME,svm,housing,99.65904012,0.3717741652,13
356,MLE,svm,france,95.14409351,0.371086052,7
74,Exhaustive,svm,advertisements,97.27439883,0.3693475723,4
203,MLE,svm,airfoil-self-noise,99.77522252,0.369170988,5
77,MLE,svm,advertisements,95.49676794,0.3682443301,4
14,MLE,svm,apartments,99.17826561,0.3681683265,3
95,MLE,svm,blood,99.27183711,0.3681531174,4
257,MLE,svm,kiva,99.28364669,0.3680492777,6
392,MLE,svm,realestate,99.77609364,0.3678137682,7
41,MLE,svm,htwtindex,99.72220921,0.3671029929,3
68,MLE,svm,spx,99.67199171,0.366129414,3
86,MLE,svm,advertising,95.69967141,0.3651483926,4
50,MLE,svm,jewellery,99.71646816,0.3639248245,3
3,IME,svm,3droad,99.40435645,0.3628097404,3
359,SGDShapley,svm,france,99.43922949,0.3587190859,7
786,IME,svm,forestfire,99.16621178,0.3586309598,12
903,IME,svm,mba,97.75877223,0.3578898603,13
678,IME,svm,bikedaily,99.46457759,0.3574728788,11
59,MLE,svm,questions,99.79978137,0.3516044198,3
444,IME,svm,cms,99.5418573,0.3474337419,8
256,KernelSHAP,svm,kiva,99.7573018,0.3470881614,6
453,IME,svm,concrete,99.56173483,0.3461482886,8
246,IME,svm,insurance,99.79674631,0.3397147952,6
867,IME,svm,boston,99.07833432,0.3307375237,13
698,MLE,svm,migration,99.77293625,0.3248877928,11
777,IME,svm,forest,99.05691096,0.3207052786,12
311,MLE,svm,auto-mpg,99.02036027,0.3204558299,7
346,KernelSHAP,svm,diamond,99.55291112,0.3177322294,7
201,IME,svm,airfoil-self-noise,99.81940601,0.3167089513,5
579,IME,svm,energy,99.39639345,0.3166397744,9
320,MLE,svm,autompg,99.06802456,0.3158220254,7
871,Parametric KernelSHAP,svm,boston,53.85020998,0.314111,13
192,IME,svm,airfoil,99.80267173,0.3138144406,5
471,IME,svm,cust,99.67777561,0.3134607734,8
260,SGDShapley,svm,kiva,99.59676892,0.3109162764,6
823,KernelSHAP,svm,seoulbike,99.76561335,0.303465042,12
287,SGDShapley,svm,walmart,-211.8917189,0.2988391688,6
543,IME,svm,cancer,99.27643065,0.2979321828,9
480,IME,svm,diabetes,99.58774774,0.2962846033,8
185,MLE,svm,unemploy,97.54397093,0.2953372842,4
350,SGDShapley,svm,diamond,98.81327702,0.2944662542,7
489,IME,svm,energy_cool,99.40269483,0.2940087741,8
498,IME,svm,energy_heat,99.44247909,0.2929798008,8
140,MLE,svm,economics,97.42052574,0.292005426,4
122,MLE,svm,diamonds_filter,98.77508215,0.2865250159,4
32,MLE,svm,chickweight,99.23471175,0.2856471464,3
851,MLE,svm,stockrisk,98.50856699,0.2635086591,12
889,Parametric KernelSHAP,svm,housing,57.34610886,0.263225,13
769,KernelSHAP,svm,bikehourly,99.43996391,0.2620361241,12
751,KernelSHAP,svm,adult,99.88116825,0.2599776701,12
876,IME,svm,heart_disease,99.63765532,0.2576791445,13
670,KernelSHAP,svm,telescope,99.46795362,0.2566024556,10
536,MLE,svm,airline-costs,93.0973542,0.2558299541,9
228,IME,svm,sacramento,99.43979633,0.2526134013,5
23,MLE,svm,brainweight,98.37378968,0.2525574588,3
795,IME,svm,heartfailure,99.1039169,0.2516690481,12
859,KernelSHAP,svm,wine,99.99730881,0.2501303319,12
146,Exhaustive,svm,iris,99.88059872,0.2483444214,4
4,KernelSHAP,svm,3droad,99.56001866,0.2462739417,3
616,KernelSHAP,svm,abalone,99.99708369,0.2443399617,10
318,IME,svm,autompg,98.98475895,0.2436575559,7
827,SGDShapley,svm,seoulbike,-83.58336154,0.2431804787,12
93,IME,svm,blood,99.46040575,0.239435666,4
467,SGDShapley,svm,crab,95.76647582,0.237858544,8
899,SGDShapley,svm,income,98.82335082,0.236120992,13
638,SGDShapley,svm,poker,88.00452469,0.2345333251,10
773,SGDShapley,svm,bikehourly,34.06801371,0.2337013671,12
426,IME,svm,wholesale,99.53529155,0.2331662358,7
755,SGDShapley,svm,adult,98.82341592,0.232832012,12
620,SGDShapley,svm,abalone,96.60885791,0.2320203752,10
696,IME,svm,migration,99.79908858,0.2316045792,11
863,SGDShapley,svm,wine,99.90284641,0.2298574375,12
907,Parametric KernelSHAP,svm,mba,98.49581923,0.229694,13
674,SGDShapley,svm,telescope,68.37196805,0.2289103819,10
557,SGDShapley,svm,casp,65.322221,0.2270964702,9
831,IME,svm,servo,99.12307131,0.2265795708,12
763,Parametric KernelSHAP,svm,airquality,-115.1007402,0.225842,12
8,SGDShapley,svm,3droad,8.905525559,0.2247204073,3
746,SGDShapley,svm,winequality-white,95.60438059,0.2241618084,11
804,IME,svm,ozone,99.77179728,0.2239210001,12
390,IME,svm,realestate,99.31504055,0.2235773288,7
