,Approximation,Model,Dataset,Accuracy,Time,Features
588,MLE,xg,diabetes,99.73521454,0.3932601889,8
643,MLE,xg,wage,99.86205136,0.3932002877,8
1072,MLE,xg,boston,98.28458895,0.3915111348,13
533,MLE,xg,californiahousing,99.6882301,0.3909748207,8
698,MLE,xg,employee,99.24902818,0.3908775944,9
412,MLE,xg,computer,99.58594453,0.3903495402,7
258,MLE,xg,japanemg,93.02597829,0.389909935,5
379,MLE,xg,auto-mpg,99.52466085,0.3899030429,7
324,MLE,xg,powerlifting,98.78326051,0.3893261064,6
456,MLE,xg,raotbl6,99.88811684,0.389163058,7
555,MLE,xg,concrete,99.72742596,0.38913782,8
445,MLE,xg,germany,98.72605121,0.3878784172,7
617,Cohort,xg,prostate,96.82240282,0.3865089922,8
616,CES,xg,prostate,96.82240282,0.3865089922,8
566,MLE,xg,crab,98.97267652,0.3862714406,8
720,MLE,xg,friedman,98.61172319,0.3856628541,9
500,MLE,xg,slump-flow,99.60955948,0.385267426,7
522,MLE,xg,wholesale,99.56115122,0.3851169576,7
632,MLE,xg,rentals,99.82188812,0.3843841842,8
599,MLE,xg,energy_cool,99.87228406,0.3842076082,8
335,MLE,xg,seeds,99.44417563,0.3836250443,6
489,MLE,xg,slump,98.36310124,0.3834305581,7
621,MLE,xg,prostate,99.70597645,0.3821017164,8
731,MLE,xg,glass,99.27729668,0.3815841138,9
236,MLE,xg,airfoil,99.71663546,0.3813143058,5
368,MLE,xg,admission,98.09062173,0.3812323541,7
577,MLE,xg,cust,99.57025359,0.3812160119,8
302,MLE,xg,insurance,99.17676558,0.3808069287,6
357,MLE,xg,yatch,98.68906945,0.3799128906,6
511,MLE,xg,slump-mpa,99.63803642,0.3784871452,7
401,MLE,xg,chanceadmit,99.60383627,0.3780965661,7
170,MLE,xg,economics,98.28041836,0.3772049314,4
467,MLE,xg,raotbl7,98.43435132,0.3768617351,7
148,MLE,xg,diamonds_filter,99.73319538,0.3768236974,4
214,MLE,xg,startups,90.97208072,0.37646382,4
192,MLE,xg,petrol,99.69355481,0.3763704449,4
181,MLE,xg,iris,99.60756415,0.3755097818,4
346,MLE,xg,walmart,99.74295793,0.3755079428,6
423,MLE,xg,diamond,99.80272402,0.3731346015,7
159,MLE,xg,diamonds_select,99.53112651,0.3720809662,4
280,MLE,xg,sacramento,99.54041978,0.3718411009,5
434,MLE,xg,france,95.14409351,0.371086052,7
291,MLE,xg,uber,99.66824796,0.3703095299,5
203,MLE,xg,power,98.98683143,0.3692082542,4
247,MLE,xg,airfoil-self-noise,99.77522252,0.369170988,5
93,MLE,xg,advertisements,95.49676794,0.3682443301,4
16,MLE,xg,apartments,99.17826561,0.3681683265,3
115,MLE,xg,blood,99.27183711,0.3681531174,4
313,MLE,xg,kiva,99.28364669,0.3680492777,6
478,MLE,xg,realestate,99.77609364,0.3678137682,7
366,IME,xg,admission,97.89514278,0.3673447768,7
49,MLE,xg,htwtindex,99.72220921,0.3671029929,3
82,MLE,xg,spx,99.67199171,0.366129414,3
27,MLE,xg,brainweight,99.15001648,0.3653692083,3
104,MLE,xg,advertising,95.69967141,0.3651483926,4
225,MLE,xg,unemploy,98.42073899,0.3650863346,4
60,MLE,xg,jewellery,99.71646816,0.3639248245,3
38,MLE,xg,chickweight,99.42432218,0.3616818733,3
5,MLE,xg,3droad,99.13173888,0.3609566978,3
137,MLE,xg,const-maint,99.27482869,0.3590719917,4
71,MLE,xg,questions,99.79978137,0.3516044198,3
1074,Parametric KernelSHAP,xg,boston,98.44049963,0.308424,13
652,IME,xg,airline-costs,50.0,0.3043792248,9
960,IME,xg,forest,98.67343091,0.2912244811,12
982,IME,xg,heartfailure,96.83201045,0.290572335,12
1114,IME,xg,income,99.64518102,0.2904769059,13
1125,IME,xg,mba,99.69573765,0.2898675621,13
1081,IME,xg,heart_disease,99.32755389,0.2886695332,13
927,IME,xg,adult,99.56826313,0.2882811669,12
949,IME,xg,bikehourly,99.75729118,0.2872295358,12
971,IME,xg,forestfire,98.89499947,0.2869910385,12
993,IME,xg,ozone,99.40748394,0.2869408842,12
1070,IME,xg,boston,98.03102153,0.2866319154,13
1107,Parametric KernelSHAP,xg,housing,95.49835872,0.286315,13
1015,IME,xg,seoulbike,99.76109513,0.2861114921,12
938,IME,xg,airquality,99.7144557,0.2846543811,12
1004,IME,xg,pumpkinseed,99.78963632,0.2845653324,12
1103,IME,xg,housing,95.2895326,0.2836455685,13
872,IME,xg,mtcars,88.94227265,0.2832318436,11
905,IME,xg,winequality-red,99.51209559,0.2810161475,11
894,IME,xg,winequality,99.733426,0.2805958813,11
1059,IME,xg,wine,99.76029564,0.2805826296,12
1092,IME,xg,heartage,99.2503332,0.2796593912,13
828,IME,xg,bikedaily,99.53288704,0.2793627977,11
861,IME,xg,migration,92.59258367,0.278538803,11
751,IME,xg,abalone,99.73690916,0.2774543387,10
839,IME,xg,facebook,99.77218961,0.2773492257,11
817,IME,xg,telescope,99.29486574,0.2770564881,10
883,IME,xg,telecom,99.67579009,0.276809959,11
795,IME,xg,possumchest,99.60749401,0.2767620768,10
916,IME,xg,winequality-white,98.8395349,0.2767325278,11
685,IME,xg,country-data,99.63846318,0.2754792869,9
696,IME,xg,employee,99.33543114,0.2748134743,9
850,IME,xg,hybrid,92.38215272,0.2748042088,11
267,IME,xg,linnerud,94.6692041,0.2745365075,5
740,IME,xg,precip,99.24751855,0.2745130568,9
773,IME,xg,poker,99.23040601,0.2744783228,10
718,IME,xg,friedman,98.45286146,0.2742854212,9
575,IME,xg,cust,99.49151692,0.2726213431,8
1037,IME,xg,stockreturn,99.22780788,0.2725338386,12
1026,IME,xg,servo,91.22783961,0.2720618335,12
454,IME,xg,raotbl6,99.80205128,0.271921844,7
553,IME,xg,concrete,99.65491346,0.2718860727,8
674,IME,xg,casp,97.99918582,0.2718303023,9
520,IME,xg,wholesale,99.50186727,0.2715677235,7
663,IME,xg,cancer,99.63089277,0.2709072628,9
630,IME,xg,rentals,99.70848016,0.2701983842,8
784,IME,xg,possumbelly,98.37698388,0.2699552468,10
542,IME,xg,cms,99.613177,0.2697536259,8
564,IME,xg,crab,99.11987135,0.2692244588,8
1048,IME,xg,stockrisk,98.51689912,0.2680463264,12
806,IME,xg,spending,99.56346898,0.2680171762,10
641,IME,xg,wage,99.71829141,0.2677923116,8
586,IME,xg,diabetes,99.6571034,0.2669389839,8
707,IME,xg,energy,99.81980217,0.2668641965,9
608,IME,xg,energy_heat,99.76579248,0.2666275276,8
762,IME,xg,asia_gdp,96.9832988,0.2664622409,10
256,IME,xg,japanemg,93.3185657,0.2662312984,5
399,IME,xg,chanceadmit,99.48480524,0.2659977945,7
476,IME,xg,realestate,99.77759679,0.2657955546,7
410,IME,xg,computer,99.41658426,0.2655705507,7
443,IME,xg,germany,98.65993427,0.2654582768,7
322,IME,xg,powerlifting,98.73096399,0.2648253246,6
377,IME,xg,auto-mpg,99.47993304,0.2648212433,7
421,IME,xg,diamond,99.72247777,0.2636626865,7
619,IME,xg,prostate,99.48652582,0.2636059775,8
531,IME,xg,californiahousing,99.60849984,0.2629664139,8
245,IME,xg,airfoil-self-noise,99.80427266,0.2622917529,5
146,IME,xg,diamonds_filter,99.7348099,0.2621208225,4
487,IME,xg,slump,98.38386609,0.261719332,7
597,IME,xg,energy_cool,99.7790075,0.2611541373,8
498,IME,xg,slump-flow,99.42928137,0.2609195148,7
388,IME,xg,autompg,99.48286908,0.2605082494,7
190,IME,xg,petrol,99.69039668,0.2601048499,4
278,IME,xg,sacramento,99.4618883,0.2597675594,5
344,IME,xg,walmart,99.64509178,0.2596262462,6
124,IME,xg,challenger,57.1812282,0.2585861981,4
432,IME,xg,france,95.82777135,0.2577188333,7
289,IME,xg,uber,99.69880283,0.2571869077,5
234,IME,xg,airfoil,99.75283443,0.2558024262,5
300,IME,xg,insurance,99.02931476,0.2555690498,6
212,IME,xg,startups,92.07213439,0.2555417313,4
729,IME,xg,glass,99.22159093,0.2549950808,9
465,IME,xg,raotbl7,97.76147914,0.2543429224,7
509,IME,xg,slump-mpa,99.63274672,0.2538913699,7
311,IME,xg,kiva,99.34393242,0.2538835229,6
135,IME,xg,const-maint,99.27085738,0.2532450936,4
355,IME,xg,yatch,98.59776012,0.2527649262,6
113,IME,xg,blood,99.72165974,0.2523326285,4
223,IME,xg,unemploy,98.31781482,0.2521824134,4
25,IME,xg,brainweight,99.05732018,0.2519901644,3
333,IME,xg,seeds,99.49168298,0.2516879275,6
201,IME,xg,power,99.00709931,0.2515511375,4
157,IME,xg,diamonds_select,99.4561476,0.2501622056,4
102,IME,xg,advertising,95.09621558,0.2489805258,4
168,IME,xg,economics,98.34352505,0.2487927224,4
