,Model,Algorithm,Dataset,MSE,R2,Time
4563,nb,SGD,credit-a,0.13690000000000002,86.61627806010725,0.15341849088668824
4564,nb,SGD,crime_data,242.9930795847753,74.30782001383396,1.2135323215933407
4565,nb,SGD,census_data,6.864400000000002,93.06233058503652,0.2688216233253479
4566,nb,SGD,anneal,0.04409999999999996,94.08767931358092,0.22855385541915893
4567,nb,SGD,hepatitis,0.4792899408284023,86.05744621213603,0.15992103173182562
4568,nb,SGD,balance-scale,0.3025000000000002,94.50858833821214,0.15611235857009886
4569,nb,SGD,soybean,5.152899999999999,82.91314483156538,0.4205524754524231
4570,nb,SGD,car,0.040000000000000056,89.99999999999999,0.28420884132385255
4571,nb,SGD,horse-colic,0.4225,98.36614683950422,0.17942058563232421
4572,nb,SGD,bupa-liver-disorders,0.16809999999999994,87.67848700070684,0.15707592487335206
4573,nb,SGD,jobs_in_data,33.756099999999954,96.18063259697546,3.9520957136154173
4574,nb,SGD,movie_data,69991.99359999997,74.03432360013718,28.625818083286287
4575,nb,SGD,cars,264.15589906196345,89.86484468107366,1.2422570661566723
4576,nb,SGD,uforeports,5.382399999999972,99.99727491517251,18.57900048017502
4577,nb,SGD,monk-3,0.24009999999999998,60.262190394062564,0.1402643871307373
4578,nb,SGD,ecoli,1.0000000000000004,86.77248677248677,0.24340905904769897
4579,knn,Parametric,Housing_Data,0.7894402971932597,88.49620106728014,0.045193
4580,knn,Parametric,echocardiogram,0.17158832140388067,97.39097839093938,0.035037
4581,knn,Parametric,monk-1,0.2646413976208785,74.06249072071259,0.005879
4582,knn,Parametric,glass,1.476246613989339,80.85959064406205,0.012798
4583,knn,Parametric,auto-mpg,0.5680681821964071,84.0319178371316,0.006966
4584,knn,Parametric,drug200,0.43620110976532095,61.46740153741009,0.005319
4585,knn,Parametric,sales-cars,344.0625,65.976906213483,0.004387
4586,knn,Parametric,healthcare-dataset-stroke-data,0.2754889518839283,94.12009229620946,0.042832
4587,knn,Parametric,nursery,2.306151111658835,72.75723060055684,0.008824
4588,knn,Parametric,hr-evaluation,0.030516819321020638,93.88586161871298,0.04322
4589,knn,Parametric,breast-cancer,0.1560318615805626,94.0449322734222,0.015094
