,Model,Replacement,Dataset,MSE,R2,Time
2660,logr,Uniform,lymphography,0.26030820491461887,76.61608890375054,0.12745288926727918
2661,logr,Uniform,Cust_Segmentation,31.92250000000001,88.00960703879355,0.11589819431304932
2662,logr,Uniform,flag,1.1268639053254437,94.70963001042405,0.1362575237567608
2663,logr,Uniform,drug_dt,0.10123966942148759,68.01796345854005,0.1389626950928659
2664,logr,Uniform,cylinder-bands,0.10239999999999994,85.87436671831395,0.14631015300750733
2665,logr,Uniform,Data_Uk,7712.352399999998,62.66086625967143,0.253823356628418
2666,logr,Uniform,heart-statlog,0.2177777777777778,90.44755314298571,0.12784027258555095
2667,logr,Uniform,phoneme,0.0729,63.01369863013699,0.13584415912628173
2668,logr,Uniform,Churn_Modelling,347993.8081000001,87.0605085276714,0.14434174537658692
2669,logr,Uniform,wilt,0.001600000000000002,95.83333333333333,0.11836575031280518
2670,logr,Uniform,airport-frequencies,3009669.8256000006,97.87676602038918,0.14613829612731932
2671,logr,Uniform,magic,0.10890000000000001,67.82136373882214,0.12416576147079468
2672,logr,Uniform,sales-records,1.9881000000000006,79.6257624591027,0.12243171691894532
2673,logr,Uniform,hayes-roth,0.1322314049586778,75.93984962406013,0.1103886528448625
2674,logr,Uniform,housing,0.8463999999999997,98.90977697470498,0.11720998525619507
2675,logr,Uniform,segment,4.4521,97.90187553397323,0.12515020847320557
2676,logr,Uniform,monk-2,0.012100000000000005,87.64044943820225,0.11615410089492798
2677,logr,Uniform,autos,1.1524653979238757,88.7980598724251,0.13356434597688563
2678,logr,Uniform,FuelConsumption,50.97959999999998,60.863316863759074,0.22572432041168214
2679,logr,Uniform,cleveland,0.5183999999999997,89.99999083436474,0.1289517617225647
2680,logr,Uniform,Titanic_Data,177.63208814834738,93.34578263910784,0.6489048903105689
2681,logr,Uniform,employees,4304.6721,87.7895838865636,0.12429489850997925
2682,logr,Uniform,Mall_Customers,0.022956841138659322,82.14285714285715,0.1379004500129006
2683,logr,Uniform,50_Startups,0.678200692041522,72.13258773724137,0.11400968888226677
2684,logr,Uniform,weight-height,0.27039999999999953,79.56689065514242,0.11386322498321533
2685,logr,Uniform,ToyotaCorolla,938.1968999999993,83.0754037630851,0.21785825490951538
2686,logr,Uniform,mushroom,0.22089999999999996,74.65827277730848,0.13750543117523192
2687,logr,Uniform,zoo,4.484429065743944,98.56058808732334,0.14821219444274902
2688,logr,Uniform,IBM_CHRN_CSV,306616.9128999997,93.07829558830768,0.23522691965103149
2689,logr,Uniform,titanic,0.052900000000000016,70.12987012987013,0.11424246549606323
2690,logr,Uniform,imdrating,48774.722500000025,96.04338197180057,0.11543690681457519
2691,logr,Uniform,advertising_classification,37310.785600000025,97.90094313113494,0.12872088432312012
2692,logr,Uniform,Bmi_male_female,0.016900000000000002,85.0574712643678,0.1142665672302246
2693,logr,Uniform,FuelConsumptionCo2,50.97959999999996,60.863316863759074,0.1186905026435852
2694,logr,Uniform,poker-hand,0.0,100.0,0.11693881988525391
2695,logr,Uniform,iris,2.561332751639473e-31,100.0,0.17546584606170654
2696,logr,Uniform,credit-a,0.1764,72.44064006886632,0.12653096437454223
2697,logr,Uniform,crime_data,301.1245674740483,96.54581341398294,0.13401375097386978
2698,logr,Uniform,census_data,0.040000000000000105,94.73684210526315,0.12193909168243408
2699,logr,Uniform,anneal,0.008099999999999974,97.3169923815833,0.1492626190185547
2700,logr,Uniform,hepatitis,0.018121301775147928,84.44444444444444,0.13598349002691415
2701,logr,Uniform,balance-scale,0.3249,78.35668699475741,0.10971549272537232
2702,logr,Uniform,soybean,8.352099999999997,72.17626815999789,0.16719314813613892
2703,logr,Uniform,car,0.022499999999999964,95.38461538461539,0.12068145513534546
